Time (s),PF,RR,BAT,MT
0.453214,4047.340000,4047.340000,4047.340000,4047.340000
0.454214,4047.220000,4047.220000,4047.220000,4047.220000
0.455214,4047.110000,4047.110000,4047.110000,4047.110000
0.456214,4046.990000,4046.990000,4046.990000,4046.990000
0.457214,4046.880000,4046.880000,4046.880000,4046.880000
0.458214,4046.760000,4046.760000,4046.760000,4046.760000
0.459214,4046.650000,4046.650000,4046.650000,4046.650000
0.460214,4046.530000,4046.530000,4046.530000,4046.530000
0.461214,4046.410000,4046.410000,4046.410000,4046.410000
0.462214,4046.300000,4046.300000,4046.300000,4046.300000
0.463214,4046.180000,4046.180000,4046.180000,4046.180000
0.464214,4046.070000,4046.070000,4046.070000,4046.070000
0.465214,4045.950000,4045.950000,4045.950000,4045.950000
0.466214,4045.840000,4045.840000,4045.840000,4045.840000
0.467214,4045.720000,4045.720000,4045.720000,4045.720000
0.468214,4045.610000,4045.610000,4045.610000,4045.610000
0.469214,4045.490000,4045.490000,4045.490000,4045.490000
0.470214,4045.380000,4045.380000,4045.380000,4045.380000
0.471214,4045.260000,4045.260000,4045.260000,4045.260000
0.472214,4045.150000,4045.150000,4045.150000,4045.150000
0.473214,4045.030000,4045.030000,4045.030000,4045.030000
0.474214,4044.920000,4044.920000,4044.920000,4044.920000
0.475214,4044.800000,4044.800000,4044.800000,4044.800000
0.476214,4044.690000,4044.690000,4044.690000,4044.690000
0.477214,4044.570000,4044.570000,4044.570000,4044.570000
0.478214,4044.460000,4044.460000,4044.460000,4044.460000
0.479214,4044.340000,4044.340000,4044.340000,4044.340000
0.480214,4044.220000,4044.220000,4044.220000,4044.220000
0.481214,4044.110000,4044.110000,4044.110000,4044.110000
0.482214,4043.990000,4043.990000,4043.990000,4043.990000
0.483214,4043.880000,4043.880000,4043.880000,4043.880000
0.484214,4043.760000,4043.760000,4043.760000,4043.760000
0.485214,4043.650000,4043.650000,4043.650000,4043.650000
0.486214,4043.530000,4043.530000,4043.530000,4043.530000
0.487214,4043.420000,4043.420000,4043.420000,4043.420000
0.488214,4043.300000,4043.300000,4043.300000,4043.300000
0.489214,4043.190000,4043.190000,4043.190000,4043.190000
0.490214,4043.070000,4043.070000,4043.070000,4043.070000
0.491214,4042.960000,4042.960000,4042.960000,4042.960000
0.492214,4042.840000,4042.840000,4042.840000,4042.840000
0.493214,4042.730000,4042.730000,4042.730000,4042.730000
0.494214,4042.610000,4042.610000,4042.610000,4042.610000
0.495214,4042.500000,4042.500000,4042.500000,4042.500000
0.496214,4042.380000,4042.380000,4042.380000,4042.380000
0.497214,4042.270000,4042.270000,4042.270000,4042.270000
0.498214,4042.150000,4042.150000,4042.150000,4042.150000
0.499214,4042.040000,4042.040000,4042.040000,4042.040000
0.500214,4041.920000,4041.920000,4041.920000,4041.920000
0.501214,4041.810000,4041.810000,4041.810000,4041.810000
0.502214,4041.690000,4041.690000,4041.690000,4041.690000
0.503214,4041.580000,4041.580000,4041.580000,4041.580000
0.504214,4041.460000,4041.460000,4041.460000,4041.460000
0.505214,4041.350000,4041.350000,4041.350000,4041.350000
0.506214,4041.230000,4041.230000,4041.230000,4041.230000
0.507214,4041.120000,4041.120000,4041.120000,4041.120000
0.508214,4041.000000,4041.000000,4041.000000,4041.000000
0.509214,4040.880000,4040.880000,4040.880000,4040.880000
0.510214,4040.770000,4040.770000,4040.770000,4040.770000
0.511214,4040.650000,4040.650000,4040.650000,4040.650000
0.512214,4040.540000,4040.540000,4040.540000,4040.540000
